tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Etiqueta
1.53,9.79775,-87.81722,1.917758,0,0,0,0,0,0,0,-3.409816,0.5031287,-2.080074,0,0,0,Ejercicio1
1.54,9.53598,-87.76075,1.692322,0,0,0,0,0,0,0,-8.60829,2.429429,-9.507595,0,0,0,Ejercicio1
1.55,9.07124,-87.79755,1.389395,0,0,0,0,0,0,0,-23.45804,-2.120542,-12.54296,0,0,0,Ejercicio1
1.56,8.596012,-87.76897,1.259263,0,0,0,0,0,0,0,-23.50746,0.3565231,-2.548999,0,0,0,Ejercicio1
1.57,8.527668,-87.82291,1.248612,0,0,0,0,0,0,0,-2.083678,-0.5314255,-0.1881593,0,0,0,Ejercicio1
1.58,8.459674,-87.9308,1.230926,0,0,0,0,0,0,0,-0.3355815,-3.811437,-0.5182248,0,0,0,Ejercicio1
1.59,8.459674,-87.9308,1.230926,0,0,0,0,0,0,0,-0.0007758144,-0.008811474,-0.001198058,0,0,0,Ejercicio1
1.6,8.461965,-87.86253,1.185662,0,0,0,0,0,0,0,0.3078278,9.175541,-6.081211,0,0,0,Ejercicio1
1.61,8.461965,-87.86253,1.185662,0,0,0,0,0,0,0,0.004409669,0.1314397,-0.08711291,0,0,0,Ejercicio1
1.62,8.530702,-87.86253,1.189155,0,0,0,0,0,0,0,9.360843,0.001501002,0.4767135,0,0,0,Ejercicio1
1.63,8.668172,-87.86253,1.196228,0,0,0,0,0,0,0,11.7165,9.048108e-06,0.6075822,0,0,0,Ejercicio1
1.64,8.805635,-87.86253,1.203413,0,0,0,0,0,0,0,17.95657,1.033266e-07,0.94599,0,0,0,Ejercicio1
1.65,8.874366,-87.86253,1.207048,0,0,0,0,0,0,0,2.477112,0.0,0.1315209,0,0,0,Ejercicio1
1.66,8.874366,-87.86253,1.207048,0,0,0,0,0,0,0,0.0389349,0.0,0.002067228,0,0,0,Ejercicio1
1.67,8.805635,-87.86253,1.203413,0,0,0,0,0,0,0,-1.209357,0.0,-0.06371146,0,0,0,Ejercicio1
1.68,8.805635,-87.86253,1.203413,0,0,0,0,0,0,0,-0.0190085,0.0,-0.001001408,0,0,0,Ejercicio1
1.69,8.805635,-87.86253,1.203413,0,0,0,0,0,0,0,-8.325026e-05,0.0,-4.385799e-06,0,0,0,Ejercicio1
1.7,8.805635,-87.86253,1.203413,0,0,0,0,0,0,0,-9.506927e-07,0.0,-5.00845e-08,0,0,0,Ejercicio1
1.71,8.874742,-87.91648,1.199963,0,0,0,0,0,0,0,1.74619,-2.535571,-0.240716,0,0,0,Ejercicio1
1.72,8.874742,-87.91648,1.199963,0,0,0,0,0,0,0,0.02744638,-0.03985376,-0.003783541,0,0,0,Ejercicio1
1.73,8.874742,-87.91648,1.199963,0,0,0,0,0,0,0,0.000120205,-0.0001745448,-1.657052e-05,0,0,0,Ejercicio1
1.74,8.874742,-87.91648,1.199963,0,0,0,0,0,0,0,1.889367e-06,-2.743472e-06,-2.604532e-07,0,0,0,Ejercicio1
1.75,8.88623,-87.91293,0.9835837,0,0,0,0,0,0,0,0.8594025,3.952565,-16.18629,0,0,0,Ejercicio1
1.76,8.900115,-87.84058,0.7220712,0,0,0,0,0,0,0,0.7060357,3.692774,-13.29773,0,0,0,Ejercicio1
1.77,8.916766,-87.75305,0.4084512,0,0,0,0,0,0,0,0.7213957,3.809819,-13.58702,0,0,0,Ejercicio1
1.78,8.931008,-87.73348,0.1402239,0,0,0,0,0,0,0,0.7857478,3.891524,-14.79905,0,0,0,Ejercicio1
1.79,8.944867,-87.65942,-0.1208121,0,0,0,0,0,0,0,0.5683301,3.04405,-10.70413,0,0,0,Ejercicio1
1.8,8.878711,-87.6985,-0.1836856,0,0,0,0,0,0,0,0.1416308,2.516581,-9.374313,0,0,0,Ejercicio1
1.81,8.881829,-87.73756,-0.2428671,0,0,0,0,0,0,0,0.08735493,-2.317603,-1.669386,0,0,0,Ejercicio1
1.82,8.812503,-87.73756,-0.246505,0,0,0,0,0,0,0,-8.515767,-0.03642777,-0.4714282,0,0,0,Ejercicio1
1.83,8.745881,-87.72265,-0.3022948,0,0,0,0,0,0,0,-6.527672,0.1952142,-1.023569,0,0,0,Ejercicio1
