tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.066,0.01304612,-0.08751135,-0.002816514,0,0,0,0,0,0,0,-0.01582453,0.007750858,-0.0002337252,0,0,0,0.0006618757448162,Ejercicio 1
0.067,0.01255718,-0.08749531,-0.0029051339999999,0,0,0,0,0,0,0,-0.0315259,4.2582e-05,-0.002306277,0,0,0,0.0006618757448162,Ejercicio 1
0.068,0.01178909,-0.08740917,-0.003057,0,0,0,0,0,0,0,-0.04951048,0.00388778,-0.004309803,0,0,0,0.0006966804435901,Ejercicio 1
0.069,0.01115804,-0.08739306,-0.003151242,0,0,0,0,0,0,0,-0.03983715,0.0004505178,-0.003975313,0,0,0,0.0006966804435901,Ejercicio 1
0.07,0.01045589,-0.08737694,-0.003247467,0,0,0,0,0,0,0,-0.03802908,0.0005595855,-0.004119411,0,0,0,0.0006966804435901,Ejercicio 1
0.071,0.009823353,-0.0873068,-0.00333001,0,0,0,0,0,0,0,-0.02806296,0.001180247,-0.002886081,0,0,0,0.0007010800682423,Ejercicio 1
0.072,0.009204561,-0.08720947,-0.003675905,0,0,0,0,0,0,0,-0.02347101,0.006158164,-0.02088456,0,0,0,0.0007215897492709,Ejercicio 1
0.073,0.008866832,-0.08711137,-0.004004978,0,0,0,0,0,0,0,-0.02467413,0.00442657,-0.01525865,0,0,0,0.0007783801624337,Ejercicio 1
0.074,0.008525224,-0.08702905,-0.004281447,0,0,0,0,0,0,0,-0.02663515,0.003759611,-0.01311209,0,0,0,0.0008094909166184,Ejercicio 1
0.075,0.008180062,-0.0869628,-0.0045053919999999,0,0,0,0,0,0,0,-0.02272337,0.001371162,-0.005353198,0,0,0,0.0008208837516483,Ejercicio 1
0.076,0.008042709,-0.08692956,-0.0046154149999999,0,0,0,0,0,0,0,-0.009570169,0.002877135,-0.0093958829999999,0,0,0,0.0008208837516483,Ejercicio 1
0.077,0.00790046,-0.08692956,-0.004621971,0,0,0,0,0,0,0,-0.01019412,7.307845e-06,-0.0004883483,0,0,0,0.0008227513167136,Ejercicio 1
0.078,0.007834011,-0.08689622,-0.0047285389999999,0,0,0,0,0,0,0,-0.003006406,0.002811035,-0.008856443,0,0,0,0.0008324522681176,Ejercicio 1
0.079,0.007843361,-0.08682931,-0.004935123,0,0,0,0,0,0,0,0.0007054219,0.005169264,-0.01591512,0,0,0,0.0008611428609759,Ejercicio 1
0.08,0.007855042,-0.08674519,-0.005193201,0,0,0,0,0,0,0,0.000307485,0.002222002,-0.006793627,0,0,0,0.0008818503032135,Ejercicio 1
0.081,0.007857378,-0.0867283,-0.005244796,0,0,0,0,0,0,0,5.462704e-06,3.952856e-05,-0.0001206894,0,0,0,0.0008817725394852,Ejercicio 1
0.082,0.007857378,-0.0867283,-0.005244796,0,0,0,0,0,0,0,1.262903e-08,9.138413e-08,-2.790159e-07,0,0,0,0.0008869603890247,Ejercicio 1
0.083,0.007855042,-0.08674519,-0.005193201,0,0,0,0,0,0,0,-0.0002936717999999,-0.002122091,0.006488156,0,0,0,0.0008873318393623,Ejercicio 1
0.084,0.007781367,-0.08676205,-0.005144813,0,0,0,0,0,0,0,-4.116008000000001e-05,-0.0002997379,0.0009177128,0,0,0,0.0008777918544152,Ejercicio 1
