tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.119,0.003774303,-0.0902138,0.0203373,0,0,0,0,0,0,0,3.331064e-05,-4.306648e-05,-0.001306307,0,0,0,-0.0027948964064591,Ejercicio 1
0.12,0.003775678,-0.09020725,0.02028337,0,0,0,0,0,0,0,3.825765e-06,1.791398e-05,-0.0001500309,0,0,0,-0.0027855703136419,Ejercicio 1
0.121,0.003777053,-0.09020068,0.02022945,0,0,0,0,0,0,0,3.5142430000000006e-05,0.0001682308,-0.001378142,0,0,0,-0.0027986963427316,Ejercicio 1
0.122,0.003777053,-0.09020068,0.02022945,0,0,0,0,0,0,0,8.124404e-08,3.889257e-07,-3.186059e-06,0,0,0,-0.0028036154526333,Ejercicio 1
0.123,0.003777053,-0.09020068,0.02022945,0,0,0,0,0,0,0,1.757616e-09,8.413934e-09,-6.892651e-08,0,0,0,-0.0028042039892584,Ejercicio 1
0.124,0.003777053,-0.09020068,0.02022945,0,0,0,0,0,0,0,5.592716e-12,2.677305e-11,-2.193234e-10,0,0,0,-0.0028042039892584,Ejercicio 1
0.125,0.003775678,-0.09020725,0.02028337,0,0,0,0,0,0,0,-4.340356e-05,-0.0002070742999999,0.00170211,0,0,0,-0.0027956573673189,Ejercicio 1
0.126,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,-0.002927414,-4.787249e-07,-6.950658e-05,0,0,0,-0.0027842457769844,Ejercicio 1
0.127,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,-4.917054e-06,-8.040939e-10,-1.1674730000000001e-07,0,0,0,-0.0027846360365389,Ejercicio 1
0.128,0.003714792,-0.09020725,0.02028183,0,0,0,0,0,0,0,-5.615127e-08,-9.182509e-12,-1.333218e-09,0,0,0,-0.0027846360365389,Ejercicio 1
